Date,Adj Close,Close,High,Low,Open,Volume,Date
1994-10-28,27.776634216308594,47.65625,47.703125,46.765625,46.765625,192100,1994-10-28
1994-10-31,27.676441192626953,47.484375,47.59375,47.46875,47.546875,36300,1994-10-31
1994-11-01,27.3668212890625,46.953125,47.28125,46.9375,47.28125,435200,1994-11-01
1994-11-02,27.211984634399414,46.6875,47.234375,46.6875,46.8125,115600,1994-11-02
1994-11-03,27.35771369934082,46.9375,47.015625,46.78125,46.84375,87000,1994-11-03
1994-11-04,27.002531051635742,46.328125,47.15625,46.328125,47.15625,124400,1994-11-04
1994-11-07,27.084518432617188,46.46875,46.59375,46.3125,46.4375,115000,1994-11-07
1994-11-08,27.293954849243164,46.828125,46.984375,46.546875,46.625,308300,1994-11-08
1994-11-09,27.339481353759766,46.90625,47.328125,46.5,47.328125,318500,1994-11-09
1994-11-10,27.148229598999023,46.578125,47.03125,46.546875,46.9375,172100,1994-11-10
1994-11-11,27.048076629638672,46.40625,46.5625,46.28125,46.515625,302200,1994-11-11
1994-11-14,27.303070068359375,46.84375,46.859375,46.609375,46.609375,181400,1994-11-14
1994-11-15,27.211984634399414,46.6875,47.09375,46.328125,46.796875,316900,1994-11-15
1994-11-16,27.303070068359375,46.84375,46.84375,46.609375,46.765625,106900,1994-11-16
1994-11-17,27.120914459228516,46.53125,46.875,46.34375,46.875,104700,1994-11-17
1994-11-18,27.084518432617188,46.46875,46.625,46.265625,46.546875,269300,1994-11-18
1994-11-21,26.811283111572266,46.0,46.578125,46.0,46.4375,283100,1994-11-21
1994-11-22,26.228431701660156,45.0,46.0,45.0,45.828125,483600,1994-11-22
1994-11-23,26.3741512298584,45.25,45.265625,44.609375,45.03125,601600,1994-11-23
1994-11-25,26.50164031982422,45.46875,45.53125,45.28125,45.28125,77300,1994-11-25
1994-11-28,26.620023727416992,45.671875,45.6875,45.34375,45.453125,79900,1994-11-28
1994-11-29,26.610916137695312,45.65625,45.75,45.5,45.65625,105500,1994-11-29
1994-11-30,26.57450294494629,45.59375,45.953125,45.59375,45.890625,218800,1994-11-30
1994-12-01,26.31039810180664,45.140625,45.640625,45.046875,45.640625,439000,1994-12-01
1994-12-02,26.556289672851562,45.5625,45.5625,45.046875,45.046875,318500,1994-12-02
1994-12-05,26.583600997924805,45.609375,45.8125,45.5,45.65625,139200,1994-12-05
1994-12-06,26.601818084716797,45.640625,45.65625,45.359375,45.4375,249900,1994-12-06
